id,path,question,a,b,c,d,answer1,answer2,answer3,answer4,answer5,answer
dev_3216.jpg,dev/dev_3216.jpg,사진에 보이는 재활용품 중 종이 재질의 포장지는 몇 개입니까?,1개,2개,3개,4개,b,b,b,d,b,b
dev_3217.jpg,dev/dev_3217.jpg,사진 속 나무 밑에 있는 재활용 가능한 플라스틱 병의 색깔은 무엇인가요?,노란색,파란색,투명,초록색,c,c,c,a,c,c
dev_3219.jpg,dev/dev_3219.jpg,사진에 보이는 재활용품 중 플라스틱으로 만들어진 것은 무엇인가요?,투명한 컵과 노란 빨대,흰색 뚜껑이 있는 용기,노란 빨대와 흰색 용기,투명한 컵과 흰색 용기,d,d,d,a,d,d
dev_3220.jpg,dev/dev_3220.jpg,책상 위에 있는 재활용품 중에서 종이 재질인 것은 무엇인가요?,휴지 케이스,하얀 무선 이어폰 케이스,컴퓨터 키보드,흰색 상자,d,a,d,d,a,d
dev_3221.jpg,dev/dev_3221.jpg,사진에 보이는 재활용품 중 플라스틱 재질은 무엇인가요?,투명 플라스틱 용기,파란색 플라스틱 뚜껑,종이 문서,플라스틱 용기와 파란색 뚜껑 모두,d,d,a,a,d,d
dev_3223.jpg,dev/dev_3223.jpg,사진에 보이는 조지아 커피 캔의 재활용 분류는 무엇인가요?,플라스틱,종이,금속,유리,c,a,c,a,c,c
dev_3226.jpg,dev/dev_3226.jpg,사진에 보이는 재활용 가능한 캔은 몇 개입니까?,1개,2개,3개,4개,d,a,c,c,c,c
dev_3229.jpg,dev/dev_3229.jpg,사진에 보이는 재활용 가능한 플라스틱 용기는 몇 개입니까?,1개,2개,3개,4개,b,c,c,c,a,c
dev_3231.jpg,dev/dev_3231.jpg,사진에 보이는 재활용품 중 골판지 상자의 개수는 몇 개인가요?,1개,2개,3개,4개,b,d,c,c,b,b
dev_3232.jpg,dev/dev_3232.jpg,사진 속 재활용 가능한 플라스틱 컵은 몇 개입니까?,1개,2개,3개,없음,a,a,d,a,d,a
dev_3234.jpg,dev/dev_3234.jpg,사진에 보이는 재활용품 중 플라스틱 재질인 것은 무엇인가요?,투명한 머리핀 케이스,종이로 된 이어폰 포장지,유리병,금속 캔,a,b,a,a,b,a
dev_3239.jpg,dev/dev_3239.jpg,사진 속 재활용 쓰레기봉투 안에 보이는 플라스틱 컵은 몇 개인가요?,1개,2개,3개,4개,b,a,a,d,b,a
dev_3242.jpg,dev/dev_3242.jpg,사진 속에 보이는 재활용 가능한 병은 몇 개입니까?,7개,9개,11개,13개,c,c,b,c,b,c
dev_3243.jpg,dev/dev_3243.jpg,사진에 보이는 재활용품 중 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,b,d,b,b,d,b
dev_3247.jpg,dev/dev_3247.jpg,사진에 보이는 재활용 가능한 플라스틱 병의 개수는 몇 개인가요?,1개,2개,3개,4개,d,a,a,b,c,a
dev_3248.jpg,dev/dev_3248.jpg,사진에 보이는 종이컵과 종이컵 홀더의 재활용 분류는 어떻게 해야 할까요?,"종이컵은 플라스틱, 종이컵 홀더는 종이로 분리 배출한다.",종이컵과 종이컵 홀더 모두 종이로 분리 배출한다.,"종이컵은 종이, 종이컵 홀더는 플라스틱으로 분리 배출한다.",종이컵과 종이컵 홀더 모두 일반 쓰레기로 버린다.,b,a,b,b,b,b
dev_3251.jpg,dev/dev_3251.jpg,책상 위에 놓인 흰색 상자는 어떤 재질로 보이나요?,플라스틱,종이,유리,금속,a,b,b,a,a,b
dev_3253.jpg,dev/dev_3253.jpg,사진에 보이는 재활용 가능한 종이류는 무엇입니까?,감자튀김 용기와 햄버거 포장지,음료 컵과 케첩 소스 포장지,햄버거 포장지와 음료 컵,감자튀김 용기와 음료 컵,c,a,a,d,b,a
dev_3256.jpg,dev/dev_3256.jpg,사진에 보이는 재활용품 중 골판지 상자는 몇 개입니까?,1개,2개,3개,4개,b,b,c,c,b,b
dev_3257.jpg,dev/dev_3257.jpg,사진 속 재활용품 봉투 안에 들어있는 재활용품의 재질은 무엇인가요?,플라스틱,스티로폼,종이,유리,b,a,b,b,a,b
dev_3260.jpg,dev/dev_3260.jpg,사진에서 보이는 재활용품 중 플라스틱 병은 몇 개입니까?,2개,3개,4개,5개,d,d,b,a,d,d
dev_3261.jpg,dev/dev_3261.jpg,사진에 보이는 재활용품 중 종이팩은 몇 개입니까?,1개,2개,3개,없음,a,a,a,b,b,a
dev_3262.jpg,dev/dev_3262.jpg,책상 위에 있는 재활용 가능한 음료 용기는 몇 개인가요?,1개,2개,3개,4개,b,a,b,a,b,b
dev_3263.jpg,dev/dev_3263.jpg,사진에 보이는 재활용품 중 종이 상자의 개수는 몇 개인가요?,3개,4개,5개,6개,c,c,d,b,d,c
dev_3267.jpg,dev/dev_3267.jpg,책상 위에 있는 재활용품 중 알루미늄 호일은 어디에 있나요?,펜 옆에 있는 둥근 투명 용기 안,모니터 아래 받침대 위,키보드 옆에 있는 종이 위,전원 멀티탭 옆,c,a,a,c,b,a
dev_3269.jpg,dev/dev_3269.jpg,사진 속 음료 컵의 뚜껑과 빨대의 재질은 무엇인가요?,플라스틱 뚜껑과 종이 빨대,플라스틱 뚜껑과 플라스틱 빨대,종이 뚜껑과 플라스틱 빨대,종이 뚜껑과 종이 빨대,a,a,b,a,b,a
dev_3270.jpg,dev/dev_3270.jpg,사진 속 아이스크림 용기와 스푼의 재활용 분류는 무엇인가요?,"용기는 종이류, 스푼은 플라스틱류",용기와 스푼 모두 플라스틱류,용기와 스푼 모두 종이류,"용기는 플라스틱류, 스푼은 종이류",a,a,b,b,a,a
dev_3271.jpg,dev/dev_3271.jpg,사진 속 재활용품 중 종이류는 어디에 담겨 있나요?,파란색 상자 안,녹색 그물 안,바닥에 직접 놓여 있음,나무 옆 땅에 흩어져 있음,a,d,c,a,d,a
dev_3273.jpg,dev/dev_3273.jpg,사진 속 트레이 위에 있는 재활용품 중 캔의 개수는 몇 개인가요?,1개,2개,3개,4개,b,d,d,d,d,d
dev_3277.jpg,dev/dev_3277.jpg,사진 속 비닐봉지 안에 들어있는 재활용품의 종류는 무엇인가요?,플라스틱 용기,종이 포장지,유리병,금속 캔,a,b,c,b,a,a
dev_3278.jpg,dev/dev_3278.jpg,사진 속 재활용품 중 유리병은 몇 개 있나요?,1개,2개,3개,4개,b,b,a,b,a,b
dev_3279.jpg,dev/dev_3279.jpg,사진 속 재활용품 중 플라스틱 병은 몇 개 있나요?,1개,2개,3개,없음,d,a,a,d,a,a
dev_3280.jpg,dev/dev_3280.jpg,사진 속 계단에 놓인 재활용품 중 종이 재질의 재활용품은 무엇인가요?,검은색 비닐봉투,파란색 비닐봉투,종이 상자,플라스틱 바구니,b,c,b,c,c,c
dev_3281.jpg,dev/dev_3281.jpg,사진에 보이는 재활용품 중 상자의 개수는 몇 개인가요?,2개,3개,4개,5개,c,d,d,c,b,c
dev_3284.jpg,dev/dev_3284.jpg,사진 속 재활용품 중 플라스틱 재질로 보이는 것은 무엇인가요?,검은색 텀블러,노란색 스틱형 포장재,하얀색 작은 용기,책상 위 모니터,c,d,c,b,c,c
dev_3290.jpg,dev/dev_3290.jpg,사진에 보이는 재활용 가능한 플라스틱 컵은 몇 개인가요?,1개,2개,3개,4개,b,b,c,b,c,b
dev_3292.jpg,dev/dev_3292.jpg,책상 위에 있는 재활용 가능한 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,c,,c,,c,c
dev_3293.jpg,dev/dev_3293.jpg,책상 위에 보이는 재활용 가능한 플라스틱 빨대의 개수는 몇 개인가요?,1개,2개,3개,4개,b,b,b,a,a,a
dev_3299.jpg,dev/dev_3299.jpg,사진에 보이는 재활용 가능한 유리병은 총 몇 개입니까?,19개,20개,21개,22개,b,a,a,a,b,b
dev_1604.jpg,dev/dev_1604.jpg,사진에 보이는 재활용품 중 플라스틱 재질인 것은 무엇인가요?,스너글 섬유유연제 용기,향기 디퓨저 병,투명 플라스틱 뚜껑,종이 상자,c,a,c,a,c,c
dev_1605.jpg,dev/dev_1605.jpg,사진에 보이는 재활용 가능한 컵의 재질은 무엇인가요?,종이컵,플라스틱 컵,유리컵,금속컵,a,b,b,a,a,a
dev_1606.jpg,dev/dev_1606.jpg,이 사진에 보이는 재활용품 중 종이류는 무엇인가요?,종이 상자,플라스틱 병,유리병,금속 캔,b,d,a,a,a,a
dev_1609.jpg,dev/dev_1609.jpg,사진에 보이는 재활용품 중 종이상자의 개수는 몇 개인가요?,3개,4개,5개,6개,c,b,b,b,b,c
dev_1610.jpg,dev/dev_1610.jpg,사진에 보이는 재활용품 중 종이 재질의 상자는 몇 개입니까?,1개,2개,3개,4개,c,b,b,b,b,b
dev_1611.jpg,dev/dev_1611.jpg,사진 속 재활용품 중 플라스틱 병의 뚜껑 색깔은 무엇인가요?,흰색,파란색,검은색,투명색,a,a,d,d,a,a
dev_1612.jpg,dev/dev_1612.jpg,사진 속 재활용품 중 종이팩의 개수는 몇 개인가요?,1개,2개,3개,4개,a,a,b,b,b,a
dev_1613.jpg,dev/dev_1613.jpg,사진에 보이는 재활용 가능한 플라스틱 용기의 개수는 몇 개인가요?,1개,2개,3개,4개,b,b,a,c,b,b
dev_1615.jpg,dev/dev_1615.jpg,사진에 보이는 재활용품 중 플라스틱 병은 몇 개입니까?,2개,3개,4개,5개,c,c,b,b,b,b
dev_1616.jpg,dev/dev_1616.jpg,사진에 보이는 재활용 가능한 플라스틱 포장지는 몇 개입니까?,1개,2개,3개,4개,c,b,b,c,c,c
dev_1618.jpg,dev/dev_1618.jpg,사진에 보이는 페트병의 개수는 몇 개인가요?,1개,2개,3개,4개,b,c,d,c,c,c
dev_1619.jpg,dev/dev_1619.jpg,사진 속 재활용 가능한 종이팩은 총 몇 개입니까?,2개,3개,4개,5개,a,a,b,b,c,b
dev_1621.jpg,dev/dev_1621.jpg,사진 속 재활용품 중 발포 스티로폼의 개수는 몇 개인가요?,1개,2개,3개,4개,a,b,a,b,a,b
dev_1622.jpg,dev/dev_1622.jpg,사진에 보이는 재활용품 중 알루미늄 캔은 몇 개입니까?,1개,2개,3개,없음,c,a,a,a,c,a
dev_1624.jpg,dev/dev_1624.jpg,사진에 보이는 재활용 가능한 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,b,b,a,b,d,b
dev_1625.jpg,dev/dev_1625.jpg,사진에 보이는 투명한 용기는 어떤 재질로 만들어졌나요?,플라스틱,유리,금속,종이,b,a,a,a,a,a
dev_1626.jpg,dev/dev_1626.jpg,사진에 보이는 재활용 가능한 플라스틱 용기의 개수는 몇 개인가요?,1개,2개,3개,4개,b,a,,a,b,a
dev_1627.jpg,dev/dev_1627.jpg,테이블 위에 있는 재활용 가능한 병의 재질은 무엇인가요?,유리,플라스틱,금속,종이,b,a,b,a,a,a
dev_1628.jpg,dev/dev_1628.jpg,사진에 보이는 '곰돌이 푸' 캐릭터가 그려진 포켓티슈의 재활용 분류는 무엇인가요?,종이류,플라스틱류,유리병류,금속류,a,b,b,a,b,b
dev_1632.jpg,dev/dev_1632.jpg,책상 위에 놓인 재활용 가능한 플라스틱 용기는 몇 개입니까?,1개,2개,3개,4개,b,a,b,b,a,b
dev_1634.jpg,dev/dev_1634.jpg,사진에 보이는 재활용품 중 플라스틱 컵은 몇 개입니까?,10개,13개,15개,17개,c,d,d,d,d,d
dev_1635.jpg,dev/dev_1635.jpg,사진에 보이는 재활용 가능한 종이 박스는 몇 개입니까?,3개,4개,5개,6개,c,c,c,d,d,d
dev_1636.jpg,dev/dev_1636.jpg,사진 속 재활용품 중 캔 음료가 몇 개 있나요?,10개 미만,10개 이상 20개 미만,20개 이상 30개 미만,30개 이상,c,d,c,b,d,c
dev_1637.jpg,dev/dev_1637.jpg,사진 속에서 보이는 재활용 가능한 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,d,d,d,a,c,d
dev_1639.jpg,dev/dev_1639.jpg,사진에 보이는 재활용 가능한 종이컵은 몇 개입니까?,3개,4개,5개,6개,c,c,d,c,c,c
dev_1640.jpg,dev/dev_1640.jpg,사진에 보이는 재활용품 중 플라스틱 컵은 몇 개입니까?,1개,2개,3개,4개,b,d,c,d,d,d
dev_1642.jpg,dev/dev_1642.jpg,사진에 보이는 재활용품 중 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,c,c,a,a,c,c
dev_1643.jpg,dev/dev_1643.jpg,사진에 보이는 재활용 쓰레기 중 플라스틱 병이 들어있는 봉투는 어떤 색인가요?,투명한 봉투,파란색 봉투,흰색 봉투,검은색 봉투,c,a,a,a,c,a
dev_1644.jpg,dev/dev_1644.jpg,사진에 보이는 재활용품 중 캔은 몇 개입니까?,1개,2개,3개,4개,c,c,c,c,b,c
dev_1645.jpg,dev/dev_1645.jpg,사진에 보이는 재활용품 중에서 플라스틱 병의 뚜껑 색깔은 무엇인가요?,노란색,파란색,초록색,하늘색,c,b,d,b,d,b
dev_1646.jpg,dev/dev_1646.jpg,사진에 보이는 재활용품 중 플라스틱 용기는 몇 개입니까?,1개,2개,3개,4개 이상,d,d,a,d,d,d
dev_1647.jpg,dev/dev_1647.jpg,사진에 보이는 재활용 가능한 플라스틱 용기는 무엇입니까?,라면 용기,소시지 포장 비닐,젓가락 포장지,모두 재활용 가능,b,a,d,b,b,b
dev_1648.jpg,dev/dev_1648.jpg,사진에 보이는 재활용품 중 캔은 몇 개입니까?,1개,2개,3개,4개,b,a,b,d,a,a
dev_1649.jpg,dev/dev_1649.jpg,사진에 보이는 와인 병 중에서 '블루베리 와인' 라벨이 붙은 병은 몇 개입니까?,1개,2개,3개,4개,a,a,c,b,b,b
dev_1650.jpg,dev/dev_1650.jpg,사진에 보이는 재활용품 중 종이 재질의 조각은 몇 개입니까?,5개,8개,12개,15개,d,d,d,d,c,d
dev_1651.jpg,dev/dev_1651.jpg,사진에 보이는 재활용 가능한 플라스틱 용기는 무엇인가요?,검은색 플라스틱 포크,투명 플라스틱 소스 용기,종이 봉투,나무 테이블,b,a,b,a,b,b
dev_1652.jpg,dev/dev_1652.jpg,책상 위에 있는 재활용 가능한 포장지의 개수는 몇 개인가요?,3개,4개,5개,6개,a,b,c,a,b,b
dev_1654.jpg,dev/dev_1654.jpg,사진 속 재활용품으로 보이는 음료팩의 재질은 무엇인가요?,종이와 플라스틱 복합재질,유리,금속,플라스틱 단일재질,b,a,d,a,a,a
dev_1655.jpg,dev/dev_1655.jpg,사진에 보이는 재활용 가능한 유리병은 어떤 종류인가요?,소주병,와인병,아페롤 병,맥주병,b,b,b,d,b,c
dev_1656.jpg,dev/dev_1656.jpg,사진 속 용기 중 재활용 가능한 플라스틱 용기는 무엇인가요?,투명한 뚜껑이 있는 작은 소스 용기,흰색 종이 포장지,흰색 일회용 용기 본체,음식물 찌꺼기가 묻은 종이,d,c,a,a,a,a
dev_1658.jpg,dev/dev_1658.jpg,사진에 보이는 재활용품 중 플라스틱으로 만든 것은 무엇인가요?,음료 캔,플라스틱 뚜껑,종이컵,유리병,b,c,d,b,b,b
dev_1659.jpg,dev/dev_1659.jpg,사진 속 바구니 안에 있는 재활용 가능한 플라스틱 용기의 개수는 몇 개인가요?,1개,2개,3개,4개,c,c,b,b,b,b
dev_1660.jpg,dev/dev_1660.jpg,사진에 보이는 재활용품 상자의 재질은 무엇인가요?,플라스틱,종이,유리,금속,c,b,b,a,b,b
dev_1661.jpg,dev/dev_1661.jpg,사진에 보이는 재활용품 중 플라스틱 재질인 것은 무엇인가요?,투명한 컵,종이컵,플라스틱 뚜껑이 있는 컵,스프레이 용기,a,c,a,a,c,a
dev_1664.jpg,dev/dev_1664.jpg,사진에 보이는 재활용품은 무엇으로 포장되어 있나요?,종이 포장,플라스틱 포장,금속 포장,유리 포장,a,b,b,b,a,b
dev_1665.jpg,dev/dev_1665.jpg,사진에 보이는 재활용품 중 종이팩은 몇 개인가요?,1개,2개,3개,없음,b,a,a,b,a,a
dev_1670.jpg,dev/dev_1670.jpg,사진 속에서 재활용이 가능한 아이템은 무엇인가요?,종이봉투,플라스틱 컵,종이봉투와 플라스틱 컵,재활용품이 보이지 않는다,c,a,c,a,a,a
dev_1672.jpg,dev/dev_1672.jpg,사진에 보이는 재활용 가능한 용기는 무엇인가요?,종이컵,플라스틱 병,금속 캔,종이 포장지,a,b,a,b,b,a
dev_1674.jpg,dev/dev_1674.jpg,사진에 보이는 재활용품 중 종이 재질인 것은 무엇인가요?,노란색 컵라면 용기,검은색 비닐봉지,흰색 상자,플라스틱 뚜껑,c,c,a,a,c,b
dev_1676.jpg,dev/dev_1676.jpg,사진에 보이는 재활용 가능한 플라스틱 컵의 뚜껑 색깔은 무엇인가요?,투명,분홍색,파란색,초록색,b,a,b,b,b,b
dev_1677.jpg,dev/dev_1677.jpg,사진에 보이는 재활용품 중 플라스틱 재질의 용기는 몇 개입니까?,1개,2개,3개,4개,b,b,c,c,c,c
dev_1679.jpg,dev/dev_1679.jpg,사진 속에서 재활용 가능한 플라스틱 용기는 몇 개 있나요?,1개,2개,3개,4개,c,a,a,a,c,a
dev_1680.jpg,dev/dev_1680.jpg,사진에 보이는 재활용품 중 비닐봉지는 몇 개입니까?,1개,2개,3개,4개,b,a,a,a,d,a
dev_1682.jpg,dev/dev_1682.jpg,사진 속 재활용품 분리수거함 위에 보이는 투명 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,b,c,a,a,a,b
dev_1683.jpg,dev/dev_1683.jpg,사진에 보이는 과자 봉지는 어떤 재질로 만들어졌나요?,종이,플라스틱,알루미늄 호일,유리,c,b,b,b,b,b
dev_1685.jpg,dev/dev_1685.jpg,사진에 보이는 재활용품 중 종이 재질인 것은 무엇인가요?,하얀색 손잡이가 달린 상자,종이로 된 휴지심,구겨진 흰 종이,위 세 가지 모두,a,d,a,d,b,d
dev_1688.jpg,dev/dev_1688.jpg,사진에 보이는 재활용 가능한 종이 용기는 몇 개입니까?,1개,2개,3개,4개,b,d,d,b,a,b
dev_1690.jpg,dev/dev_1690.jpg,사진에 보이는 재활용품 중 발포 스티로폼의 개수는 몇 개인가요?,1개,2개,3개,4개,c,b,c,c,b,c
dev_1691.jpg,dev/dev_1691.jpg,사진 속에서 재활용 가능한 종이 상자의 개수는 몇 개인가요?,3개,5개,7개,9개,b,d,c,a,d,d
dev_1692.jpg,dev/dev_1692.jpg,사진 속에 보이는 투명 플라스틱 컵은 몇 개입니까?,1개,2개,3개,4개,a,a,b,a,a,a
dev_1693.jpg,dev/dev_1693.jpg,사진에 보이는 재활용품 중 플라스틱 용기는 몇 개입니까?,1개,2개,3개,4개,c,c,b,b,b,c
dev_1694.jpg,dev/dev_1694.jpg,사진에 보이는 재활용 가능한 아이템은 무엇인가요?,플라스틱 캔디 포장지,종이 캔디 포장지,유리병,금속 캔디 포장지,a,b,a,a,b,a
dev_1695.jpg,dev/dev_1695.jpg,사진에 보이는 재활용품 중 종이 재질의 상자는 몇 개입니까?,1개,2개,3개,4개,c,d,d,d,c,d
dev_1696.jpg,dev/dev_1696.jpg,사진 속 재활용품 중 종이 상자의 개수는 몇 개인가요?,3개,4개,5개,6개,c,d,d,a,d,d
dev_1698.jpg,dev/dev_1698.jpg,사진에 보이는 재활용 봉투 중에서 플라스틱 병이 들어있는 봉투는 어느 것인가요?,왼쪽 투명 봉투,가운데 투명 봉투,오른쪽 초록색 봉투,왼쪽과 가운데 봉투 모두,a,a,b,b,a,a
dev_1699.jpg,dev/dev_1699.jpg,사진에 보이는 재활용 가능한 종이봉투는 몇 개입니까?,1개,2개,3개,4개,a,c,c,c,c,a
dev_1700.jpg,dev/dev_1700.jpg,사진 속 상자 안에 보이는 재활용품 중 종이 재질의 개수는 몇 개인가요?,2개,3개,4개,5개,c,b,c,d,d,d
dev_1701.jpg,dev/dev_1701.jpg,사진에 보이는 재활용품 중 플라스틱 재질인 것은 무엇인가요?,파란색 이클립스 껌 케이스,노란색 알약 포장지,회색 카펫,검은색 물체,b,b,b,b,a,b
dev_1703.jpg,dev/dev_1703.jpg,사진에 보이는 재활용품 중 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,b,d,b,d,b,c
dev_1706.jpg,dev/dev_1706.jpg,사진에 보이는 재활용 가능한 캔의 종류는 무엇인가요?,Rogue 캔,Founders 캔,Batsquatch 캔,모두 해당,a,a,d,c,d,d
dev_1707.jpg,dev/dev_1707.jpg,사진 속 재활용품 중 플라스틱 병은 몇 개 있나요?,1개,2개,3개,4개,c,c,d,c,b,c
dev_1708.jpg,dev/dev_1708.jpg,사진 속 재활용품 중 종이 재질의 상자는 몇 개입니까?,1개,2개,3개,4개,c,c,b,c,c,c
dev_1709.jpg,dev/dev_1709.jpg,사진 속에서 재활용이 가능한 플라스틱 포장지는 몇 개 있나요?,1개,2개,3개,4개,b,c,a,b,b,b
dev_1710.jpg,dev/dev_1710.jpg,사진에 보이는 재활용 가능한 종이류는 몇 개인가요?,1개,2개,3개,4개,b,c,c,c,b,c
dev_1711.jpg,dev/dev_1711.jpg,사진에 보이는 노란색 스틱형 포장재는 어떤 재질로 보이나요?,종이,플라스틱,유리,금속,b,b,a,b,a,b
dev_1712.jpg,dev/dev_1712.jpg,사진에서 재활용 가능한 플라스틱 식기류는 몇 개인가요?,1개,2개,3개,4개,a,b,a,b,b,b
dev_1713.jpg,dev/dev_1713.jpg,사진에 보이는 재활용품 중 플라스틱 용기의 개수는 몇 개인가요?,1개,2개,3개,4개,d,c,c,d,d,d
dev_1714.jpg,dev/dev_1714.jpg,사진에 보이는 재활용품 중 플라스틱 병의 개수는 몇 개인가요?,1개,2개,3개,4개,a,a,b,b,b,c
dev_1715.jpg,dev/dev_1715.jpg,사진에 보이는 재활용 가능한 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,c,c,b,a,c,c
dev_1716.jpg,dev/dev_1716.jpg,사진에 보이는 재활용품 중 플라스틱 빨대는 몇 개입니까?,약 20개,약 30개,약 40개,약 50개,d,a,a,d,a,b
dev_1718.jpg,dev/dev_1718.jpg,사진 속 재활용품 중 알루미늄 캔의 색상은 무엇인가요?,빨간색,주황색,파란색,초록색,a,a,b,b,b,b
dev_1719.jpg,dev/dev_1719.jpg,사진에서 보이는 재활용품은 무엇인가요?,플라스틱 병,종이 상자,유리병,금속 캔,d,d,a,d,d,d
dev_1720.jpg,dev/dev_1720.jpg,사진 속에서 재활용 가능한 플라스틱 포장재는 몇 개 보이나요?,1개,2개,3개,4개 이상,d,a,d,a,d,d
dev_1721.jpg,dev/dev_1721.jpg,사진 속에 보이는 재활용품 중 금속 재질인 것은 무엇인가요?,플라스틱 병,종이 봉투,알루미늄 캔,스테인리스 텀블러,d,d,c,c,c,c
dev_1723.jpg,dev/dev_1723.jpg,사진에 보이는 재활용품 중 병(플라스틱 병)의 색깔은 무엇인가요?,투명한 병,주황색 병,파란색 병,녹색 병,b,b,a,a,b,a
dev_1724.jpg,dev/dev_1724.jpg,사진에 보이는 재활용 가능한 종이 포장지는 무엇인가요?,Welch`s Original 크림 캔디 상자,음료수 캔,플라스틱 컵 홀더,튜브형 화장품 용기,a,a,c,a,a,a
dev_1725.jpg,dev/dev_1725.jpg,사진 속 상자들 중 재활용 종이 상자의 개수는 몇 개인가요?,3개,5개,7개,9개,d,d,b,c,c,c
dev_1726.jpg,dev/dev_1726.jpg,냉장고 선반에 있는 페트병 음료 중에서 노란색 라벨이 붙은 음료는 몇 개입니까?,5개,6개,7개,8개,c,d,d,d,c,d
dev_1728.jpg,dev/dev_1728.jpg,사진에 보이는 재활용 가능한 플라스틱 병은 몇 개입니까?,1개,2개,3개,4개,c,a,a,a,a,a
dev_1729.jpg,dev/dev_1729.jpg,책상 위에 있는 재활용 가능한 플라스틱 용기는 무엇인가요?,스타벅스 텀블러,치약 튜브,컴퓨터 키보드,마우스 패드,b,b,a,c,b,b
dev_1731.jpg,dev/dev_1731.jpg,사진에 보이는 재활용 쓰레기 분리수거함에서 플라스틱 재활용품이 주로 보관된 구역은 어디인가요?,왼쪽 구역,가운데 구역,오른쪽 구역,아래 바닥,a,a,b,a,b,b
dev_1733.jpg,dev/dev_1733.jpg,사진에 보이는 재활용품은 무엇인가요?,종이팩,플라스틱 병,캔,종이 상자,d,d,a,a,a,a
dev_1734.jpg,dev/dev_1734.jpg,사진에 보이는 재활용품 중 종이 재질의 재활용품은 어디에 있나요?,노란색 봉투 안,갈색 큰 봉투 안,길가에 놓인 상자 안,검은색 봉투 안,c,c,a,c,b,c
dev_1735.jpg,dev/dev_1735.jpg,사진 속 박스 안에 보이는 재활용품 중 종이 재질의 상자는 몇 개입니까?,1개,2개,3개,4개,c,d,d,d,a,d
dev_1736.jpg,dev/dev_1736.jpg,사진에 보이는 재활용품 중 종이상자는 몇 개입니까?,2개,3개,4개,5개,b,a,a,d,a,c
dev_1737.jpg,dev/dev_1737.jpg,사진 속 재활용 쓰레기통에 버려지고 있는 종이팩의 종류는 무엇인가요?,우유팩,주스팩,두유팩,와인팩,a,b,c,b,a,c
dev_1738.jpg,dev/dev_1738.jpg,사진 속 상자들 중 재활용 가능한 종이 상자는 몇 개입니까?,1개,2개,3개,4개,d,b,b,c,c,d
dev_1740.jpg,dev/dev_1740.jpg,사진에 보이는 재활용품 중 플라스틱 용기는 몇 개인가요?,1개,2개,3개,4개,a,b,a,b,a,a
dev_1741.jpg,dev/dev_1741.jpg,사진 속 상자 안에 있는 재활용 가능한 플라스틱 스틱 커피 봉지는 어떤 색상인가요?,노란색,검은색,흰색,파란색,b,a,a,b,a,a
dev_1743.jpg,dev/dev_1743.jpg,사진에 보이는 재활용품 중 플라스틱 용기는 몇 개입니까?,1개,2개,3개,4개 이상,b,a,b,a,a,d
dev_1745.jpg,dev/dev_1745.jpg,사진에 보이는 재활용품 중 캔의 개수는 몇 개인가요?,1개,2개,3개,없음,a,d,d,a,a,d
